pl_name,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_dens,hostname,sy_dist,st_mass,st_spectype,st_lum,st_teff,st_met,st_age
OGLE-2016-BLG-1227L b,Microlensing,2020,0,,13.9,250.0,0.512,OGLE-2016-BLG-1227L,,0.1,,,,,
Kepler-276 c,Transit,2013,0,31.884,2.9,16.6,3.74,Kepler-276,1144.86,1.1,,-0.089,5779.0,0.02,0.4
Kepler-829 b,Transit,2016,0,6.88337562,2.11,5.1,2.98,Kepler-829,1073.76,0.98,,0.04,5698.0,0.03,4.68
K2-283 b,Transit,2018,0,1.921036,3.52,12.2,1.54,K2-283,402.915,0.89,,-0.524,5060.0,0.28,
Kepler-477 b,Transit,2016,0,11.11990653,2.07,4.94,3.06,Kepler-477,367.0,0.87,,-0.372,5240.0,-0.04,2.09
TOI-1260 c,Transit,2021,0,7.493134,2.76,13.2,3.45,TOI-1260,73.5977,0.68,K6 V,-0.889,4227.0,-0.1,6.7
HD 149143 b,Radial Velocity,2005,0,4.07182,13.6,422.7139,0.9229999999999999,HD 149143,73.2801,1.2,G0,0.35000000000000003,5856.0,0.29,4.28
HD 210702 b,Radial Velocity,2007,0,354.1,13.4,574.63664,1.31,HD 210702,54.1963,1.6099999999999999,K1 III,1.149,4951.0,0.04,2.1
HIP 12961 b,Radial Velocity,2010,0,57.435,13.2,114.4188,0.27299999999999996,HIP 12961,23.371,0.6900000000000001,M0,-1.003,3901.0,-0.14,
HD 11755 b,Radial Velocity,2015,0,433.70001,12.8,1789.3829,4.6899999999999995,HD 11755,235.045,0.72,G5,2.169,4312.0,-0.74,10.2
GJ 486 b,Radial Velocity,2021,0,1.467119,1.305,2.8200000000000003,7.0,GJ 486,8.07426,0.32,M3.5 V,-1.917,3340.0,0.07,
TOI-942 b,Transit,2020,0,4.32419,4.8100000000000005,826.358,,TOI-942,152.601,0.79,K2.5 V,-0.369,4928.0,-0.221,0.09
HD 5608 b,Radial Velocity,2012,0,779.9,13.5,534.27223,1.19,HD 5608,58.1105,1.53,K0,1.179,4877.0,0.14,1.72
HD 95872 b,Radial Velocity,2015,0,4375.0,13.0,1188.6842,2.9699999999999998,HD 95872,72.2195,0.7000000000000001,K0 V,-0.242,5312.0,0.41000000000000003,10.0
OGLE-2015-BLG-0966L b,Microlensing,2016,0,,4.86,21.0,1.01,OGLE-2015-BLG-0966L,3300.0,0.38,,,,,
WASP-49 b,Transit,2012,0,2.78174,12.442,117.5971,0.288,WASP-49,194.553,0.92,G6 V,-0.053,5600.0,-0.23,11.9
WASP-56 b,Transit,2012,0,4.6171,10.536,143.0235,0.583,WASP-56,321.084,0.71,G6,0.10300000000000001,5600.0,0.12,6.2
WASP-47 c,Radial Velocity,2015,0,588.8,13.5,500.0,1.12,WASP-47,264.78,1.04,,0.024,5552.0,0.38,6.5
WASP-57 b,Transit,2012,0,2.8389185599999998,11.769,204.68252,0.693,WASP-57,398.276,0.89,G6,-0.005,5600.0,-0.25,2.6
XO-1 b,Transit,2006,0,3.94153,12.778,263.7989,0.64,XO-1,163.553,0.88,G1 V,-0.08600000000000001,5750.0,0.02,0.9
HAT-P-3 b,Transit,2007,0,2.8997,10.536,206.5895,0.855,HAT-P-3,134.554,1.06,K,-0.36,5185.0,0.27,1.6
tau Cet e,Radial Velocity,2017,0,162.87,1.81,3.93,3.64,tau Cet,3.60304,0.78,G8.5V,-0.305,5310.0,-0.52,12.12
K2-254 c,Transit,2018,0,12.11839,2.19,5.43,2.84,K2-254,227.775,0.71,,-0.8220000000000001,4629.0,-0.14,
EPIC 220554210 c,Transit,2019,0,0.70531,1.6,3.19,4.28,K2-282,496.289,0.9400000000000001,,-0.215,5499.0,-0.23,
NSVS 14256825 b,Eclipse Timing Variations,2019,0,3225.0,12.3,4497.2945,13.3,NSVS 14256825,820.877,0.42,,1.974,40000.0,,
Kepler-1390 b,Transit,2016,0,6.48021673,1.18,1.76,5.89,Kepler-1390,723.431,0.98,,-0.1,5753.0,-0.01,4.47
Kepler-393 c,Transit,2014,0,14.613612,1.33,2.33,5.44,Kepler-393,881.404,1.21,,0.524,6189.0,0.032,2.15
Kepler-263 c,Transit,2014,0,47.332773,2.47,6.66,2.43,Kepler-263,754.747,0.8,,-0.456,5265.0,-0.031,7.9
Kepler-1431 b,Transit,2016,0,5.86601526,1.47,2.76,4.77,Kepler-1431,1623.24,1.03,,0.243,5806.0,0.07,4.27
Kepler-237 c,Transit,2014,0,8.103636,2.08,4.98,3.04,Kepler-237,657.822,0.7000000000000001,,-0.47700000000000004,4861.0,0.03,13.8
Kepler-1510 b,Transit,2016,0,84.703921,3.36,11.2,1.62,Kepler-1510,1696.25,1.19,,0.377,6200.0,0.04,2.75
Kepler-169 e,Transit,2014,0,13.767102,2.2,5.48,2.83,Kepler-169,406.529,0.84,,-0.496,4997.0,0.05,13.8
Kepler-145 c,Transit,2013,0,42.882,4.32,79.4,5.41,Kepler-145,566.85,1.32,,0.6920000000000001,6022.0,-0.001,3.24
Kepler-219 c,Transit,2014,0,22.714613,3.58,12.5,1.5,Kepler-219,787.07,1.17,,0.214,5786.0,0.361,4.0
Kepler-910 b,Transit,2016,0,2.36436901,0.8200000000000001,0.47700000000000004,4.75,Kepler-910,400.289,1.26,,0.494,6230.0,0.12,3.39
Kepler-1037 b,Transit,2016,0,1.06378867,1.28,2.18,5.71,Kepler-1037,446.914,0.8200000000000001,,-0.448,5105.0,-0.03,5.13
Kepler-992 b,Transit,2016,0,20.16034462,1.62,3.26,4.21,Kepler-992,259.639,0.8,,-0.5700000000000001,4944.0,-0.04,3.02
Kepler-113 b,Transit,2014,0,4.754,1.82,11.7,10.73,Kepler-113,262.351,0.75,,-0.5760000000000001,4725.0,0.05,6.89
Kepler-1097 b,Transit,2016,0,187.747029,3.26,10.7,1.7,Kepler-1097,719.802,0.8200000000000001,,-0.404,5211.0,-0.11,4.9
Kepler-382 b,Transit,2014,0,5.262155,1.32,2.3,5.5,Kepler-382,935.446,0.88,,0.146,5600.0,0.082,11.3
Kepler-1310 b,Transit,2016,0,0.67933627,1.44,2.67,4.91,Kepler-1310,569.185,0.91,,-0.192,5549.0,-0.07,4.17
42 Dra b,Radial Velocity,2008,0,479.1,13.0,1233.13,3.08,42 Dra,90.6545,0.98,K1.5 III,2.155,4200.0,-0.46,9.49
61 Vir c,Radial Velocity,2009,0,38.021,4.46,18.2,1.13,61 Vir,8.50332,0.9400000000000001,G5 V,-0.095,5577.0,-0.01,8.96
Kepler-57 b,Transit,2012,0,5.7293196,2.19,115.0,,Kepler-57,644.14,0.8300000000000001,,-0.342,5145.0,0.117,0.6
70 Vir b,Radial Velocity,1996,0,116.688,12.6,2380.45,6.54,70 Vir,17.9011,1.09,G5V,0.451,5495.0,-0.09,7.77
Kepler-255 c,Transit,2014,0,9.946047,2.99,9.22,1.9,Kepler-255,1052.53,0.87,,-0.183,5573.0,0.339,2.4
GJ 357 d,Radial Velocity,2019,0,55.661,2.34,6.1,2.62,GJ 357,9.44181,0.34,M2.5 V,-1.798,3505.0,-0.12,
KMT-2016-BLG-2605L b,Microlensing,2021,0,,14.0,245.0457,0.491,KMT-2016-BLG-2605L,6421.0,0.06,,,,,
Kepler-52 c,Transit,2012,0,16.3850021,1.8399999999999999,45.4,,Kepler-52,321.542,0.54,M0 V,-0.996,4075.0,0.0,3.55
Kepler-248 b,Transit,2014,0,6.308205,3.02,9.38,1.87,Kepler-248,738.792,0.9,,-0.418,5190.0,0.2,2.34
24 Sex b,Radial Velocity,2010,0,452.8,13.4,632.46,1.44,24 Sex,72.0691,1.54,K0 IV,1.164,5098.0,-0.03,2.7
24 Sex c,Radial Velocity,2010,0,883.0,13.9,273.32,0.5589999999999999,24 Sex,72.0691,1.54,K0 IV,1.164,5098.0,-0.03,2.7
rho CrB c,Radial Velocity,2016,0,102.54,5.38,25.0,0.882,rho CrB,17.4671,0.89,G0 V,0.232,5627.0,-0.31,11.04
K2-174 b,Transit,2018,0,19.562307,2.6,7.27,2.27,K2-174,99.9293,0.7000000000000001,,-0.773,4455.0,0.113,
K2-216 b,Transit,2018,0,2.1748,1.75,8.0,8.2,K2-216,115.461,0.7000000000000001,K5 V,-0.721,4503.0,0.0,
DENIS-P J082303.1-491201 b,Astrometry,2013,0,246.36,11.9,9057.77,29.5,DENIS-P J082303.1-491201,20.77,0.07,L1.5,,,,1.0
HIP 63242 b,Radial Velocity,2013,0,124.6,12.5,2917.56,8.21,HIP 63242,156.456,1.54,G8,1.63,4830.0,-0.31,
GJ 504 b,Imaging,2013,0,,13.0,1271.3,3.18,GJ 504,17.5299,1.22,G0 V,0.332,6234.0,0.28,0.16
2MASS J01225093-2439505 b,Imaging,2013,0,,11.209,7786.5,30.4,2MASS J01225093-2439505,33.8281,0.4,M3.5 V,-1.72,3530.0,,0.12
RR Cae b,Eclipse Timing Variations,2012,0,4343.5,13.0,1334.886,3.34,RR Cae,21.1916,0.44,M,-2.108,3904.0,,
HAT-P-68 b,Transit,2020,0,2.29840551,12.016,230.10892,0.727,HAT-P-68,202.152,0.68,K,-0.779,4508.0,-0.059000000000000004,11.1
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,0,406.0,13.4,603.877,1.38,2MASS J19383260+4603591,396.332,0.48,,1.45,29564.0,-0.092,
HAT-P-70 b,Transit,2019,0,2.74432452,20.961,2154.8874,1.54,HAT-P-70,330.739,1.8900000000000001,,1.223,8450.0,-0.059000000000000004,0.6
WASP-169 b,Transit,2019,0,5.6114118,14.617,178.30263,0.32999999999999996,WASP-169,627.066,1.34,F8,0.789,6110.0,0.06,3.802
HD 209458 b,Radial Velocity,1999,0,3.5247485899999997,15.581,232.0159,0.362,HD 209458,48.3016,1.23,G0 V,0.231,6091.0,0.01,3.1
Kepler-485 b,Transit,2016,0,3.2432598,14.41,35500.0,65.2,Kepler-485,1140.95,1.07,,0.079,5958.0,0.04,3.7199999999999998
Kepler-25 c,Transit,2011,0,12.7207,5.217,15.2,0.588,Kepler-25,243.249,1.17,,0.422,6354.0,0.11,2.75
Kepler-25 b,Transit,2011,0,6.238297,2.748,8.7,2.32,Kepler-25,243.249,1.17,,0.467,6103.0,0.01,4.65
Kepler-6 b,Transit,2009,0,3.2346996,14.617,212.31044,0.39999999999999997,Kepler-6,587.039,1.21,,0.189,5647.0,0.34,1.3
Kepler-491 b,Transit,2016,0,4.22538451,8.92,59.0,0.45699999999999996,Kepler-491,630.785,1.04,,-0.057,5582.0,0.37,4.47
Kepler-8 b,Transit,2010,0,3.5224991,15.872,187.5197,0.26999999999999996,Kepler-8,1021.87,1.21,,0.605,6213.0,-0.055,3.47
HAT-P-23 b,Transit,2010,0,1.21288,12.218,425.8922,1.406,HAT-P-23,364.813,0.58,G0,0.199,5905.0,0.15,4.0
HAT-P-2 b,Transit,2007,0,5.6335158,12.663,2765.121,7.29,HAT-P-2,127.774,1.33,F8,0.53,6380.0,0.18,1.44
HAT-P-31 b,Transit,2011,0,5.00542,12.218,721.4741,2.18,HAT-P-31,344.05,1.31,,0.433,6065.0,0.15,3.17
HAT-P-37 b,Transit,2011,0,2.7974360000000003,13.204,371.528,0.89,HAT-P-37,390.594,0.93,,-0.20800000000000002,5500.0,0.03,3.6
HAT-P-5 b,Transit,2007,0,2.78849,13.563,311.4734,0.642,HAT-P-5,303.336,1.04,G,0.187,5960.0,0.24,2.6
HD 149026 b,Radial Velocity,2005,0,2.87589,8.295,120.7754,0.75,HD 149026,75.8643,1.42,G0,0.48,6179.0,0.32,2.6
Kepler-762 b,Transit,2016,0,3.7705520999999997,12.68,,,Kepler-762,1898.26,1.06,,0.318,5944.0,0.02,3.8
HD 189733 b,Radial Velocity,2005,0,2.21857567,12.666,359.1479,0.943,HD 189733,19.7638,0.79,K2 V,-0.461,5052.0,-0.02,1.4
HD 97658 b,Radial Velocity,2010,0,9.4897116,2.12,8.3,4.8,HD 97658,21.5618,0.85,K1 V,-0.455,5212.0,-0.23,3.9
Qatar-1 b,Transit,2010,0,1.4200242,12.812,411.27202,1.076,Qatar-1,185.615,0.84,,-0.438,5013.0,0.171,1.19
TrES-1 b,Transit,2004,0,3.03007,12.666,266.9772,0.712,TrES-1,159.658,1.04,K0 V,-0.301,5230.0,0.02,3.7
TrES-3 b,Transit,2007,0,1.3061858100000001,14.975,607.03,0.994,TrES-3,231.337,0.93,G4 V,-0.20400000000000001,5650.0,-0.19,0.9
TrES-4 b,Transit,2007,0,3.55395,18.046,247.9074,0.09899999999999999,TrES-4,515.98,1.08,F8 V,0.726,6200.0,0.14,2.2
WASP-3 b,Transit,2007,0,1.84683,15.917,772.3269,0.89,WASP-3,231.161,1.62,,0.434,6400.0,0.0,2.1
WASP-48 b,Transit,2011,0,2.14363,16.814,254.264,0.415,WASP-48,454.144,0.88,,0.58,5920.0,-0.12,7.9
Kepler-471 b,Transit,2016,0,5.01423457,14.96,37000.0,60.7,Kepler-471,1249.41,1.49,,0.71,6733.0,0.07,1.58
WASP-58 b,Transit,2012,0,5.01718,16.029,308.2951,0.44999999999999996,WASP-58,290.404,1.06,G2 V,0.16,5800.0,-0.45,12.8
Kepler-68 d,Radial Velocity,2013,0,634.6,13.9,267.0,0.5459999999999999,Kepler-68,144.166,1.06,,0.231,5875.23,0.126,6.3
Kepler-25 d,Radial Velocity,2014,0,122.4,10.0,71.9,0.39499999999999996,Kepler-25,243.249,1.17,,0.391,6270.0,-0.04,11.0
HAT-P-49 b,Transit,2014,0,2.69155,17.822,699.226,0.75,HAT-P-49,350.351,2.22,F,0.8140000000000001,6820.0,0.07,1.5
WTS-2 b,Transit,2014,0,1.0187068,15.278,355.9696,0.5399999999999999,WTS-2,1030.7683444,0.8200000000000001,K2 V,-0.28800000000000003,5000.0,0.2,0.6
Kepler-412 b,Transit,2014,0,1.7208604,15.031,299.07803,0.52,Kepler-412,1086.24,1.17,G3 V,0.269,5750.0,0.27,5.37
Kepler-424 c,Radial Velocity,2014,0,223.3,12.7,2215.18,5.9399999999999995,Kepler-424,698.646,1.01,,-0.15,5460.0,0.44,4.9
WASP-84 b,Transit,2014,0,8.5234865,10.559,220.565,1.104,WASP-84,100.588,0.84,K0,-0.325,5314.0,0.0,1.0
HAT-P-55 b,Transit,2015,0,3.5852467,13.249,184.97706,0.435,HAT-P-55,511.388,1.01,,0.064,5808.0,-0.03,4.2
KELT-8 b,Transit,2015,0,3.24406,18.159,209.7678,0.16699999999999998,KELT-8,197.572,0.81,G2 V,0.265,5754.0,0.27,5.4
HAT-P-52 b,Transit,2015,0,2.7535952999999997,11.31,259.98494,0.98,HAT-P-52,361.155,0.89,K1,-0.305,5131.0,0.28,9.4
WASP-135 b,Transit,2015,0,1.4013794,14.572,603.877,1.16,WASP-135,298.214,0.98,G5 V,-0.326,5675.0,0.02,0.6
WASP-92 b,Transit,2016,0,2.1746742,16.376,255.85315,0.346,WASP-92,575.889,1.19,F7,0.275,6280.0,0.0,2.29
KELT-16 b,Transit,2017,0,0.9689951,15.861,874.0325,1.2,KELT-16,444.586,1.21,F7 V,0.401,6236.0,-0.002,3.1
HAT-P-67 b,Transit,2017,0,4.8101025,23.371,108.0622,0.052,HAT-P-67,371.686,1.6400000000000001,,0.9390000000000001,6406.0,-0.08,1.24
KELT-12 b,Transit,2017,0,5.031623,19.952,301.9385,0.209,KELT-12,368.03,1.5899999999999999,,0.892,6279.0,0.19,2.2
KELT-9 b,Transit,2017,0,1.4811235,21.196,915.3504,0.53,KELT-9,204.455,2.52,B9.5-A0,1.724,10170.0,-0.03,0.3
WASP-107 b,Transit,2017,0,5.7214742,10.536,30.5,0.13399999999999998,WASP-107,64.7414,0.68,K6,-0.879,4425.0,0.02,3.4
WASP-153 b,Transit,2017,0,3.332609,17.374,123.9537,0.15,WASP-153,610.176,1.34,G0,0.46,5914.0,0.34,4.0
KELT-20 b,Transit,2017,0,3.4741085,19.515,1074.90106,0.8059999999999999,KELT-20,136.426,1.76,A2 V,1.104,8720.0,-0.29,0.6
KELT-21 b,Transit,2018,0,3.6127647,17.777,1242.7153,1.24,KELT-21,470.878,1.46,A8 V,0.905,7598.0,-0.405,1.6
HAT-P-11 c,Radial Velocity,2018,0,3407.0,13.3,731.009,1.71,HAT-P-11,37.7647,0.81,K4,-0.5640000000000001,4780.0,0.31,6.5
WASP-177 b,Transit,2019,0,3.071722,17.71,161.45764,0.172,WASP-177,176.818,0.88,K2,-0.41200000000000003,5017.0,0.25,9.7
KELT-23 A b,Transit,2019,0,2.255251,14.83,298.12454,0.503,KELT-23 A,126.261,0.9400000000000001,G2 V,0.034,5899.0,-0.105,6.4
Kepler-411 e,Transit Timing Variations,2018,0,31.509728,3.2800000000000002,10.8,1.68,Kepler-411,153.676,0.87,K2 V,-0.584,4832.69,0.11,0.212
Kepler-448 c,Transit Timing Variations,2017,0,2500.0,12.0,6992.26,22.2,KOI-12,399.398,1.5,,0.5740000000000001,6466.33,0.081,1.45
Qatar-6 b,Transit,2017,0,3.506195,11.904,212.31044,0.692,Qatar-6,100.848,0.8200000000000001,K2 V,-0.514,5052.0,-0.025,1.02
WASP-148 b,Transit,2020,0,8.803809,8.474,91.21675,0.831,WASP-148,246.353,0.9500000000000001,G,-0.139,5555.0,0.099,3.6
WASP-148 c,Radial Velocity,2020,0,34.524,13.9,124.58874,0.255,WASP-148,246.353,0.9500000000000001,G,-0.139,5555.0,0.099,3.6
Wendelstein-1 b,Transit,2020,0,2.663416,11.561,188.15536,0.72,Wendelstein-1,305.3,0.65,K7 V,-0.9380000000000001,4251.0,,
Wendelstein-2 b,Transit,2020,0,1.7522239000000002,12.993,232.33373,0.62,Wendelstein-2,565.541,0.73,K6 V,-0.834,4591.0,,
K2-316 b,Transit,2020,0,1.133,1.33,2.33,5.44,K2-316,112.486,0.41000000000000003,,-1.83,3436.0,,
K2-316 c,Transit,2020,0,5.26,1.83,4.01,3.6,K2-316,112.486,0.41000000000000003,,-1.83,3436.0,,
K2-317 b,Transit,2020,0,6.22,2.93,8.91,1.95,K2-317,176.291,0.4,,-1.871,3387.0,,
K2-318 b,Transit,2020,0,7.01,1.6600000000000001,3.39,4.07,K2-318,147.866,0.56,,-1.2770000000000001,3851.0,,
K2-319 b,Transit,2020,0,26.68,2.79,8.2,2.07,K2-319,209.071,0.9500000000000001,,-0.23700000000000002,5440.0,,
K2-320 b,Transit,2020,0,1.995,2.62,7.37,2.25,K2-320,108.74,0.12,,-2.125,3157.0,,
K2-321 b,Transit,2020,0,2.298,1.9500000000000002,4.46,3.31,K2-321,77.6888,0.6,,-1.254,3855.0,,
K2-322 b,Transit,2020,0,8.205,1.92,4.35,3.38,K2-322,123.415,0.63,,-1.039,4141.0,,
K2-323 b,Transit,2020,0,24.93,2.1,5.06,3.0,K2-323,118.318,0.48,,-1.339,3710.0,,
K2-324 b,Transit,2020,0,3.262,2.43,6.48,2.48,K2-324,136.667,0.52,,-1.333,3752.0,,
K2-325 b,Transit,2020,0,6.93,2.2,5.48,2.83,K2-325,111.638,0.27,,-2.048,3287.0,,
K2-326 b,Transit,2020,0,1.256,2.2800000000000002,5.82,2.7,K2-326,282.308,0.51,,-0.978,3924.0,,
Kepler-77 b,Transit,2013,0,3.57878087,10.761,136.661,0.603,Kepler-77,639.411,0.9500000000000001,G5 V,-0.046,5520.0,0.2,7.5
WASP-107 c,Radial Velocity,2020,0,1088.0,13.2,115.0,0.27499999999999997,WASP-107,64.7414,0.68,K6,-0.879,4425.0,0.02,3.4
TOI-1685 b,Transit,2021,0,0.6691403,1.7000000000000002,3.7800000000000002,4.21,TOI-1685,37.6153,0.5,M3.0 V,-1.5190000000000001,3434.0,-0.13,1.3
